"DATE","TIME PERIOD","HICP - Energy (ICP.M.CZ.N.NRGY00.4.INX)"
"1999-12-31","1999Dec","51.3"
"2000-01-31","2000Jan","54.1"
"2000-02-29","2000Feb","54.3"
"2000-03-31","2000Mar","55.4"
"2000-04-30","2000Apr","55.3"
"2000-05-31","2000May","55.8"
"2000-06-30","2000Jun","57.1"
"2000-07-31","2000Jul","57.3"
"2000-08-31","2000Aug","56.9"
"2000-09-30","2000Sep","57.1"
"2000-10-31","2000Oct","57.2"
"2000-11-30","2000Nov","57.2"
"2000-12-31","2000Dec","56.7"
"2001-01-31","2001Jan","60.7"
"2001-02-28","2001Feb","60.4"
"2001-03-31","2001Mar","60.4"
"2001-04-30","2001Apr","60.9"
"2001-05-31","2001May","61.8"
"2001-06-30","2001Jun","62.4"
"2001-07-31","2001Jul","63.5"
"2001-08-31","2001Aug","63.4"
"2001-09-30","2001Sep","63.5"
"2001-10-31","2001Oct","63.0"
"2001-11-30","2001Nov","62.4"
"2001-12-31","2001Dec","61.5"
"2002-01-31","2002Jan","63.8"
"2002-02-28","2002Feb","63.5"
"2002-03-31","2002Mar","63.7"
"2002-04-30","2002Apr","63.5"
"2002-05-31","2002May","63.4"
"2002-06-30","2002Jun","63.1"
"2002-07-31","2002Jul","63.0"
"2002-08-31","2002Aug","63.0"
"2002-09-30","2002Sep","63.6"
"2002-10-31","2002Oct","62.6"
"2002-11-30","2002Nov","62.5"
"2002-12-31","2002Dec","62.3"
"2003-01-31","2003Jan","62.2"
"2003-02-28","2003Feb","62.6"
"2003-03-31","2003Mar","62.9"
"2003-04-30","2003Apr","63.5"
"2003-05-31","2003May","63.1"
"2003-06-30","2003Jun","62.7"
"2003-07-31","2003Jul","62.6"
"2003-08-31","2003Aug","62.8"
"2003-09-30","2003Sep","63.1"
"2003-10-31","2003Oct","62.5"
"2003-11-30","2003Nov","62.4"
"2003-12-31","2003Dec","62.3"
"2004-01-31","2004Jan","64.4"
"2004-02-29","2004Feb","64.3"
"2004-03-31","2004Mar","64.9"
"2004-04-30","2004Apr","64.6"
"2004-05-31","2004May","64.9"
"2004-06-30","2004Jun","65.0"
"2004-07-31","2004Jul","64.8"
"2004-08-31","2004Aug","64.8"
"2004-09-30","2004Sep","64.8"
"2004-10-31","2004Oct","66.5"
"2004-11-30","2004Nov","66.3"
"2004-12-31","2004Dec","65.3"
"2005-01-31","2005Jan","66.0"
"2005-02-28","2005Feb","65.9"
"2005-03-31","2005Mar","66.3"
"2005-04-30","2005Apr","67.4"
"2005-05-31","2005May","67.5"
"2005-06-30","2005Jun","67.9"
"2005-07-31","2005Jul","69.3"
"2005-08-31","2005Aug","69.4"
"2005-09-30","2005Sep","71.8"
"2005-10-31","2005Oct","74.3"
"2005-11-30","2005Nov","73.1"
"2005-12-31","2005Dec","71.8"
"2006-01-31","2006Jan","74.7"
"2006-02-28","2006Feb","75.0"
"2006-03-31","2006Mar","75.0"
"2006-04-30","2006Apr","76.3"
"2006-05-31","2006May","77.1"
"2006-06-30","2006Jun","77.1"
"2006-07-31","2006Jul","77.5"
"2006-08-31","2006Aug","77.7"
"2006-09-30","2006Sep","77.1"
"2006-10-31","2006Oct","75.1"
"2006-11-30","2006Nov","74.5"
"2006-12-31","2006Dec","74.3"
"2007-01-31","2007Jan","75.1"
"2007-02-28","2007Feb","74.7"
"2007-03-31","2007Mar","75.4"
"2007-04-30","2007Apr","76.6"
"2007-05-31","2007May","77.7"
"2007-06-30","2007Jun","78.0"
"2007-07-31","2007Jul","78.4"
"2007-08-31","2007Aug","78.4"
"2007-09-30","2007Sep","78.3"
"2007-10-31","2007Oct","79.0"
"2007-11-30","2007Nov","79.8"
"2007-12-31","2007Dec","80.0"
"2008-01-31","2008Jan","84.6"
"2008-02-29","2008Feb","84.4"
"2008-03-31","2008Mar","84.5"
"2008-04-30","2008Apr","85.1"
"2008-05-31","2008May","86.1"
"2008-06-30","2008Jun","87.0"
"2008-07-31","2008Jul","88.5"
"2008-08-31","2008Aug","87.7"
"2008-09-30","2008Sep","87.4"
"2008-10-31","2008Oct","88.4"
"2008-11-30","2008Nov","86.1"
"2008-12-31","2008Dec","84.1"
"2009-01-31","2009Jan","86.8"
"2009-02-28","2009Feb","87.8"
"2009-03-31","2009Mar","88.3"
"2009-04-30","2009Apr","88.3"
"2009-05-31","2009May","88.8"
"2009-06-30","2009Jun","90.1"
"2009-07-31","2009Jul","89.0"
"2009-08-31","2009Aug","89.1"
"2009-09-30","2009Sep","88.8"
"2009-10-31","2009Oct","87.8"
"2009-11-30","2009Nov","88.6"
"2009-12-31","2009Dec","88.4"
"2010-01-31","2010Jan","90.0"
"2010-02-28","2010Feb","90.2"
"2010-03-31","2010Mar","91.0"
"2010-04-30","2010Apr","92.2"
"2010-05-31","2010May","92.7"
"2010-06-30","2010Jun","92.8"
"2010-07-31","2010Jul","93.5"
"2010-08-31","2010Aug","92.9"
"2010-09-30","2010Sep","92.7"
"2010-10-31","2010Oct","92.6"
"2010-11-30","2010Nov","92.7"
"2010-12-31","2010Dec","94.1"
"2011-01-31","2011Jan","96.7"
"2011-02-28","2011Feb","96.6"
"2011-03-31","2011Mar","97.4"
"2011-04-30","2011Apr","97.8"
"2011-05-31","2011May","98.0"
"2011-06-30","2011Jun","99.2"
"2011-07-31","2011Jul","99.5"
"2011-08-31","2011Aug","99.5"
"2011-09-30","2011Sep","99.5"
"2011-10-31","2011Oct","99.7"
"2011-11-30","2011Nov","101.1"
"2011-12-31","2011Dec","101.8"
"2012-01-31","2012Jan","105.8"
"2012-02-29","2012Feb","106.3"
"2012-03-31","2012Mar","106.7"
"2012-04-30","2012Apr","107.2"
"2012-05-31","2012May","106.9"
"2012-06-30","2012Jun","106.2"
"2012-07-31","2012Jul","105.9"
"2012-08-31","2012Aug","106.8"
"2012-09-30","2012Sep","107.6"
"2012-10-31","2012Oct","107.3"
"2012-11-30","2012Nov","106.3"
"2012-12-31","2012Dec","105.6"
"2013-01-31","2013Jan","107.9"
"2013-02-28","2013Feb","108.6"
"2013-03-31","2013Mar","108.9"
"2013-04-30","2013Apr","108.5"
"2013-05-31","2013May","106.5"
"2013-06-30","2013Jun","106.9"
"2013-07-31","2013Jul","106.6"
