"DATE","TIME PERIOD","HICP - Food (ICP.M.CZ.N.011000.4.INX)"
"1999-12-31","1999Dec","70.3"
"2000-01-31","2000Jan","71.0"
"2000-02-29","2000Feb","71.1"
"2000-03-31","2000Mar","70.5"
"2000-04-30","2000Apr","70.0"
"2000-05-31","2000May","70.3"
"2000-06-30","2000Jun","70.7"
"2000-07-31","2000Jul","70.5"
"2000-08-31","2000Aug","71.1"
"2000-09-30","2000Sep","71.2"
"2000-10-31","2000Oct","72.3"
"2000-11-30","2000Nov","72.6"
"2000-12-31","2000Dec","73.3"
"2001-01-31","2001Jan","74.4"
"2001-02-28","2001Feb","74.1"
"2001-03-31","2001Mar","74.1"
"2001-04-30","2001Apr","74.7"
"2001-05-31","2001May","75.5"
"2001-06-30","2001Jun","77.3"
"2001-07-31","2001Jul","76.8"
"2001-08-31","2001Aug","75.7"
"2001-09-30","2001Sep","74.9"
"2001-10-31","2001Oct","74.9"
"2001-11-30","2001Nov","74.8"
"2001-12-31","2001Dec","75.9"
"2002-01-31","2002Jan","77.4"
"2002-02-28","2002Feb","76.9"
"2002-03-31","2002Mar","76.4"
"2002-04-30","2002Apr","76.0"
"2002-05-31","2002May","75.7"
"2002-06-30","2002Jun","74.4"
"2002-07-31","2002Jul","72.4"
"2002-08-31","2002Aug","71.4"
"2002-09-30","2002Sep","71.3"
"2002-10-31","2002Oct","71.2"
"2002-11-30","2002Nov","70.9"
"2002-12-31","2002Dec","71.7"
"2003-01-31","2003Jan","72.4"
"2003-02-28","2003Feb","72.2"
"2003-03-31","2003Mar","71.9"
"2003-04-30","2003Apr","71.9"
"2003-05-31","2003May","72.4"
"2003-06-30","2003Jun","73.3"
"2003-07-31","2003Jul","71.4"
"2003-08-31","2003Aug","70.5"
"2003-09-30","2003Sep","71.1"
"2003-10-31","2003Oct","71.9"
"2003-11-30","2003Nov","73.5"
"2003-12-31","2003Dec","74.5"
"2004-01-31","2004Jan","75.7"
"2004-02-29","2004Feb","75.4"
"2004-03-31","2004Mar","75.5"
"2004-04-30","2004Apr","75.7"
"2004-05-31","2004May","75.4"
"2004-06-30","2004Jun","75.4"
"2004-07-31","2004Jul","75.0"
"2004-08-31","2004Aug","74.6"
"2004-09-30","2004Sep","74.1"
"2004-10-31","2004Oct","74.2"
"2004-11-30","2004Nov","74.3"
"2004-12-31","2004Dec","75.5"
"2005-01-31","2005Jan","75.7"
"2005-02-28","2005Feb","75.7"
"2005-03-31","2005Mar","75.7"
"2005-04-30","2005Apr","75.6"
"2005-05-31","2005May","75.9"
"2005-06-30","2005Jun","76.2"
"2005-07-31","2005Jul","74.9"
"2005-08-31","2005Aug","74.2"
"2005-09-30","2005Sep","74.3"
"2005-10-31","2005Oct","74.6"
"2005-11-30","2005Nov","74.6"
"2005-12-31","2005Dec","74.9"
"2006-01-31","2006Jan","75.5"
"2006-02-28","2006Feb","75.3"
"2006-03-31","2006Mar","75.1"
"2006-04-30","2006Apr","75.2"
"2006-05-31","2006May","75.9"
"2006-06-30","2006Jun","76.7"
"2006-07-31","2006Jul","76.5"
"2006-08-31","2006Aug","76.0"
"2006-09-30","2006Sep","75.7"
"2006-10-31","2006Oct","75.1"
"2006-11-30","2006Nov","75.1"
"2006-12-31","2006Dec","76.2"
"2007-01-31","2007Jan","77.3"
"2007-02-28","2007Feb","77.2"
"2007-03-31","2007Mar","77.4"
"2007-04-30","2007Apr","78.7"
"2007-05-31","2007May","78.4"
"2007-06-30","2007Jun","78.6"
"2007-07-31","2007Jul","78.1"
"2007-08-31","2007Aug","77.8"
"2007-09-30","2007Sep","78.0"
"2007-10-31","2007Oct","80.1"
"2007-11-30","2007Nov","83.6"
"2007-12-31","2007Dec","85.2"
"2008-01-31","2008Jan","87.2"
"2008-02-29","2008Feb","86.6"
"2008-03-31","2008Mar","86.0"
"2008-04-30","2008Apr","86.5"
"2008-05-31","2008May","87.2"
"2008-06-30","2008Jun","86.9"
"2008-07-31","2008Jul","86.3"
"2008-08-31","2008Aug","84.7"
"2008-09-30","2008Sep","84.1"
"2008-10-31","2008Oct","84.4"
"2008-11-30","2008Nov","83.6"
"2008-12-31","2008Dec","83.9"
"2009-01-31","2009Jan","85.2"
"2009-02-28","2009Feb","85.1"
"2009-03-31","2009Mar","85.0"
"2009-04-30","2009Apr","84.5"
"2009-05-31","2009May","83.8"
"2009-06-30","2009Jun","83.2"
"2009-07-31","2009Jul","81.0"
"2009-08-31","2009Aug","80.0"
"2009-09-30","2009Sep","79.6"
"2009-10-31","2009Oct","79.3"
"2009-11-30","2009Nov","79.7"
"2009-12-31","2009Dec","81.1"
"2010-01-31","2010Jan","82.7"
"2010-02-28","2010Feb","83.0"
"2010-03-31","2010Mar","84.0"
"2010-04-30","2010Apr","84.3"
"2010-05-31","2010May","83.5"
"2010-06-30","2010Jun","83.5"
"2010-07-31","2010Jul","83.7"
"2010-08-31","2010Aug","82.8"
"2010-09-30","2010Sep","82.9"
"2010-10-31","2010Oct","82.5"
"2010-11-30","2010Nov","84.2"
"2010-12-31","2010Dec","86.2"
"2011-01-31","2011Jan","86.7"
"2011-02-28","2011Feb","86.9"
"2011-03-31","2011Mar","87.0"
"2011-04-30","2011Apr","87.6"
"2011-05-31","2011May","89.3"
"2011-06-30","2011Jun","87.8"
"2011-07-31","2011Jul","87.6"
"2011-08-31","2011Aug","86.5"
"2011-09-30","2011Sep","86.7"
"2011-10-31","2011Oct","87.6"
"2011-11-30","2011Nov","88.9"
"2011-12-31","2011Dec","90.8"
"2012-01-31","2012Jan","92.7"
"2012-02-29","2012Feb","93.3"
"2012-03-31","2012Mar","95.0"
"2012-04-30","2012Apr","93.5"
"2012-05-31","2012May","94.3"
"2012-06-30","2012Jun","95.7"
"2012-07-31","2012Jul","94.1"
"2012-08-31","2012Aug","93.0"
"2012-09-30","2012Sep","93.2"
"2012-10-31","2012Oct","93.8"
"2012-11-30","2012Nov","94.4"
"2012-12-31","2012Dec","95.8"
"2013-01-31","2013Jan","98.6"
"2013-02-28","2013Feb","98.1"
"2013-03-31","2013Mar","98.5"
"2013-04-30","2013Apr","98.0"
"2013-05-31","2013May","98.9"
"2013-06-30","2013Jun","101.5"
"2013-07-31","2013Jul","99.3"
"2013-08-31","2013Aug","97.7"
"2013-09-30","2013Sep","97.0"
"2013-10-31","2013Oct","96.5"
"2013-11-30","2013Nov","97.4"
"2013-12-31","2013Dec","100.5"
"2014-01-31","2014Jan","102.5"
"2014-02-28","2014Feb","102.3"
"2014-03-31","2014Mar","102.7"
"2014-04-30","2014Apr","101.9"
"2014-05-31","2014May","101.7"
"2014-06-30","2014Jun","100.6"
"2014-07-31","2014Jul","100.5"
"2014-08-31","2014Aug","99.7"
"2014-09-30","2014Sep","99.7"
"2014-10-31","2014Oct","100.0"
"2014-11-30","2014Nov","99.6"
"2014-12-31","2014Dec","100.0"
"2015-01-31","2015Jan","100.6"
"2015-02-28","2015Feb","100.7"
"2015-03-31","2015Mar","100.7"
"2015-04-30","2015Apr","101.3"
"2015-05-31","2015May","101.6"
"2015-06-30","2015Jun","101.7"
"2015-07-31","2015Jul","99.4"
"2015-08-31","2015Aug","98.5"
"2015-09-30","2015Sep","99.8"
"2015-10-31","2015Oct","99.3"
"2015-11-30","2015Nov","98.5"
"2015-12-31","2015Dec","97.8"
"2016-01-31","2016Jan","98.9"
"2016-02-29","2016Feb","99.2"
"2016-03-31","2016Mar","99.2"
"2016-04-30","2016Apr","99.4"
"2016-05-31","2016May","98.9"
"2016-06-30","2016Jun","98.4"
"2016-07-31","2016Jul","98.9"
"2016-08-31","2016Aug","98.1"
"2016-09-30","2016Sep","98.1"
"2016-10-31","2016Oct","98.1"
"2016-11-30","2016Nov","100.1"
