"DATE","TIME PERIOD","Hourly compensation (MNA.Q.Y.CZ.W2.S1.S1._Z.COM_HW._Z._T._Z.IX.V.N)"
"1995-03-31","1995Q1","21.46"
"1995-06-30","1995Q2","21.58"
"1995-09-30","1995Q3","22.97"
"1995-12-31","1995Q4","24.04"
"1996-03-31","1996Q1","24.88"
"1996-06-30","1996Q2","26.23"
"1996-09-30","1996Q3","26.78"
"1996-12-31","1996Q4","28.01"
"1997-03-31","1997Q1","27.89"
"1997-06-30","1997Q2","29.66"
"1997-09-30","1997Q3","29.48"
"1997-12-31","1997Q4","29.50"
"1998-03-31","1998Q1","31.22"
"1998-06-30","1998Q2","30.57"
"1998-09-30","1998Q3","31.81"
"1998-12-31","1998Q4","31.97"
"1999-03-31","1999Q1","31.92"
"1999-06-30","1999Q2","32.50"
"1999-09-30","1999Q3","33.52"
"1999-12-31","1999Q4","34.29"
"2000-03-31","2000Q1","34.71"
"2000-06-30","2000Q2","34.63"
"2000-09-30","2000Q3","35.56"
"2000-12-31","2000Q4","36.15"
"2001-03-31","2001Q1","38.22"
"2001-06-30","2001Q2","39.69"
"2001-09-30","2001Q3","40.41"
"2001-12-31","2001Q4","42.04"
"2002-03-31","2002Q1","42.19"
"2002-06-30","2002Q2","43.09"
"2002-09-30","2002Q3","43.83"
"2002-12-31","2002Q4","44.93"
"2003-03-31","2003Q1","46.19"
"2003-06-30","2003Q2","47.24"
"2003-09-30","2003Q3","47.73"
"2003-12-31","2003Q4","48.66"
"2004-03-31","2004Q1","50.12"
"2004-06-30","2004Q2","49.67"
"2004-09-30","2004Q3","51.34"
"2004-12-31","2004Q4","51.91"
"2005-03-31","2005Q1","51.01"
"2005-06-30","2005Q2","52.01"
"2005-09-30","2005Q3","53.01"
"2005-12-31","2005Q4","53.63"
"2006-03-31","2006Q1","54.04"
"2006-06-30","2006Q2","55.75"
"2006-09-30","2006Q3","56.12"
"2006-12-31","2006Q4","56.94"
"2007-03-31","2007Q1","58.08"
"2007-06-30","2007Q2","59.07"
"2007-09-30","2007Q3","59.80"
"2007-12-31","2007Q4","60.81"
"2008-03-31","2008Q1","62.45"
"2008-06-30","2008Q2","61.95"
"2008-09-30","2008Q3","61.31"
"2008-12-31","2008Q4","60.65"
"2009-03-31","2009Q1","62.17"
"2009-06-30","2009Q2","60.75"
"2009-09-30","2009Q3","59.96"
"2009-12-31","2009Q4","61.12"
"2010-03-31","2010Q1","61.09"
"2010-06-30","2010Q2","62.41"
"2010-09-30","2010Q3","63.19"
"2010-12-31","2010Q4","64.57"
"2011-03-31","2011Q1","62.88"
"2011-06-30","2011Q2","64.08"
"2011-09-30","2011Q3","64.93"
"2011-12-31","2011Q4","65.05"
"2012-03-31","2012Q1","65.13"
"2012-06-30","2012Q2","65.49"
"2012-09-30","2012Q3","66.09"
"2012-12-31","2012Q4","65.72"
"2013-03-31","2013Q1","65.45"
"2013-06-30","2013Q2","65.26"
"2013-09-30","2013Q3","66.26"
"2013-12-31","2013Q4","65.59"
"2014-03-31","2014Q1","66.62"
"2014-06-30","2014Q2","67.15"
"2014-09-30","2014Q3","67.59"
"2014-12-31","2014Q4","67.22"
"2015-03-31","2015Q1","69.54"
"2015-06-30","2015Q2","69.36"
"2015-09-30","2015Q3","68.96"
"2015-12-31","2015Q4","72.65"
"2016-03-31","2016Q1","70.39"
"2016-06-30","2016Q2","71.74"
"2016-09-30","2016Q3","73.93"
"2016-12-31","2016Q4","74.93"
"2017-03-31","2017Q1","75.96"
"2017-06-30","2017Q2","77.26"
"2017-09-30","2017Q3","78.63"
"2017-12-31","2017Q4","79.71"
"2018-03-31","2018Q1","81.91"
"2018-06-30","2018Q2","83.76"
"2018-09-30","2018Q3","84.92"
"2018-12-31","2018Q4","85.41"
"2019-03-31","2019Q1","87.88"
"2019-06-30","2019Q2","89.79"
"2019-09-30","2019Q3","91.30"
"2019-12-31","2019Q4","91.71"
"2020-03-31","2020Q1","99.50"
"2020-06-30","2020Q2","98.76"
"2020-09-30","2020Q3","97.03"
"2020-12-31","2020Q4","104.71"
"2021-03-31","2021Q1","100.40"
"2021-06-30","2021Q2","105.10"
"2021-09-30","2021Q3","104.30"
"2021-12-31","2021Q4","105.63"
"2022-03-31","2022Q1","104.61"
"2022-06-30","2022Q2","107.66"
"2022-09-30","2022Q3","108.19"
"2022-12-31","2022Q4","110.88"
"2023-03-31","2023Q1","113.30"
"2023-06-30","2023Q2","113.73"
"2023-09-30","2023Q3","114.73"
"2023-12-31","2023Q4","116.06"
"2024-03-31","2024Q1","118.81"
"2024-06-30","2024Q2","119.09"
"2024-09-30","2024Q3","121.41"
"2024-12-31","2024Q4","121.66"
"2025-03-31","2025Q1","124.09"
"2025-06-30","2025Q2","126.03"
"2025-09-30","2025Q3","127.46"
