DATE,TIME PERIOD,"Unemployment rate, age 15 to 74, male (LFSI.M.CZ.S.UNEHRT.TOTAL0.15_74.M)"
1/31/93,1993Jan,3.7
2/28/93,1993Feb,3.7
3/31/93,1993Mar,3.4
4/30/93,1993Apr,3.4
5/31/93,1993May,3.7
6/30/93,1993Jun,3.2
7/31/93,1993Jul,3.5
8/31/93,1993Aug,3.5
9/30/93,1993Sep,3
10/31/93,1993Oct,3.5
11/30/93,1993Nov,3.1
12/31/93,1993Dec,3.3
1/31/94,1994Jan,3.2
2/28/94,1994Feb,3.2
3/31/94,1994Mar,3.4
4/30/94,1994Apr,3.8
5/31/94,1994May,3.3
6/30/94,1994Jun,3.6
7/31/94,1994Jul,3.6
8/31/94,1994Aug,3.6
9/30/94,1994Sep,4.1
10/31/94,1994Oct,3.8
11/30/94,1994Nov,3.5
12/31/94,1994Dec,3.9
1/31/95,1995Jan,3.5
2/28/95,1995Feb,3.5
3/31/95,1995Mar,3.8
4/30/95,1995Apr,3.5
5/31/95,1995May,3.3
6/30/95,1995Jun,3.7
7/31/95,1995Jul,3.4
8/31/95,1995Aug,3.3
9/30/95,1995Sep,3.3
10/31/95,1995Oct,3.2
11/30/95,1995Nov,3.3
12/31/95,1995Dec,3
1/31/96,1996Jan,3
2/29/96,1996Feb,3
3/31/96,1996Mar,3.1
4/30/96,1996Apr,3
5/31/96,1996May,3.5
6/30/96,1996Jun,3.5
7/31/96,1996Jul,3.2
8/31/96,1996Aug,3.5
9/30/96,1996Sep,3.5
10/31/96,1996Oct,3
11/30/96,1996Nov,3.5
12/31/96,1996Dec,3.7
1/31/97,1997Jan,3.6
2/28/97,1997Feb,3.4
3/31/97,1997Mar,3.4
4/30/97,1997Apr,3.7
5/31/97,1997May,3.7
6/30/97,1997Jun,3.9
7/31/97,1997Jul,4
8/31/97,1997Aug,3.9
9/30/97,1997Sep,4
10/31/97,1997Oct,4.1
11/30/97,1997Nov,4.2
12/31/97,1997Dec,4.5
1/31/98,1998Jan,4.5
2/28/98,1998Feb,4.5
3/31/98,1998Mar,4.7
4/30/98,1998Apr,4.6
5/31/98,1998May,4.4
6/30/98,1998Jun,4.9
7/31/98,1998Jul,5.1
8/31/98,1998Aug,5
9/30/98,1998Sep,5.3
10/31/98,1998Oct,5.7
11/30/98,1998Nov,5.8
12/31/98,1998Dec,5.7
1/31/99,1999Jan,6.7
2/28/99,1999Feb,6.6
3/31/99,1999Mar,7.1
4/30/99,1999Apr,7.4
5/31/99,1999May,7.3
6/30/99,1999Jun,7.1
7/31/99,1999Jul,7.2
8/31/99,1999Aug,7.2
9/30/99,1999Sep,7.6
10/31/99,1999Oct,8.1
11/30/99,1999Nov,7.5
12/31/99,1999Dec,7.7
1/31/00,2000Jan,8
2/29/00,2000Feb,7.8
3/31/00,2000Mar,7.8
4/30/00,2000Apr,7.6
5/31/00,2000May,7.4
6/30/00,2000Jun,7.1
7/31/00,2000Jul,7.2
8/31/00,2000Aug,7.1
9/30/00,2000Sep,7.1
10/31/00,2000Oct,6.9
11/30/00,2000Nov,7.1
12/31/00,2000Dec,6.8
1/31/01,2001Jan,7
2/28/01,2001Feb,6.7
3/31/01,2001Mar,6.5
4/30/01,2001Apr,7
5/31/01,2001May,6.7
6/30/01,2001Jun,6.6
7/31/01,2001Jul,6.6
8/31/01,2001Aug,7.3
9/30/01,2001Sep,6.7
10/31/01,2001Oct,6.4
11/30/01,2001Nov,6.7
12/31/01,2001Dec,6.6
1/31/02,2002Jan,6.1
2/28/02,2002Feb,6.1
3/31/02,2002Mar,6.1
4/30/02,2002Apr,5.8
5/31/02,2002May,6
6/30/02,2002Jun,5.9
7/31/02,2002Jul,5.6
8/31/02,2002Aug,5.9
9/30/02,2002Sep,6
10/31/02,2002Oct,5.7
11/30/02,2002Nov,5.9
12/31/02,2002Dec,5.9
1/31/03,2003Jan,5.3
2/28/03,2003Feb,5.7
3/31/03,2003Mar,6
4/30/03,2003Apr,5.9
5/31/03,2003May,6
6/30/03,2003Jun,5.9
7/31/03,2003Jul,6.5
8/31/03,2003Aug,6.1
9/30/03,2003Sep,6.2
10/31/03,2003Oct,6.7
11/30/03,2003Nov,6.5
12/31/03,2003Dec,6.4
1/31/04,2004Jan,7.2
2/29/04,2004Feb,7.5
3/31/04,2004Mar,6.4
4/30/04,2004Apr,7.1
5/31/04,2004May,7.8
6/30/04,2004Jun,6.7
7/31/04,2004Jul,6.8
8/31/04,2004Aug,7.4
9/30/04,2004Sep,6.8
10/31/04,2004Oct,7.2
11/30/04,2004Nov,7.2
12/31/04,2004Dec,6.4
1/31/05,2005Jan,7.1
2/28/05,2005Feb,7.1
3/31/05,2005Mar,6.8
4/30/05,2005Apr,6.5
5/31/05,2005May,6.4
6/30/05,2005Jun,6.3
7/31/05,2005Jul,6.2
8/31/05,2005Aug,6.3
9/30/05,2005Sep,6.3
10/31/05,2005Oct,6.1
11/30/05,2005Nov,6.4
12/31/05,2005Dec,6.1
1/31/06,2006Jan,6.3
2/28/06,2006Feb,6
3/31/06,2006Mar,6.5
4/30/06,2006Apr,5.6
5/31/06,2006May,5.7
6/30/06,2006Jun,6.2
7/31/06,2006Jul,5.4
