Period;SNEZAMM41 * (Number);SNEZAMM31 * (Number);
1993-12-31;53.9;185.2;
1994-03-31;66.3;184.5;
1994-06-30;78.5;160.1;
1994-09-30;82.2;163.9;
1994-12-31;76.6;166.5;
1995-03-31;87;161.5;
1995-06-30;98.7;144;
1995-09-30;94.4;154;
1995-12-31;88;153;
1996-03-31;95.8;159.2;
1996-06-30;109.8;144.1;
1996-09-30;102.9;169;
1996-12-31;84;186.3;
1997-03-31;87.1;199.6;
1997-06-30;81.6;202.6;
1997-09-30;73.2;247.6;
1997-12-31;62.3;268.9;
1998-03-31;64.3;284.1;
1998-06-30;58.2;289.5;
1998-09-30;51.4;350.7;
1998-12-31;37.6;386.9;
1999-03-31;33;433.3;
1999-06-30;34.5;435;
1999-09-30;36.7;469.8;
1999-12-31;35.1;487.6;
2000-03-31;38.4;493.4;
2000-06-30;48;451.4;
2000-09-30;53.1;458.3;
2000-12-31;52.1;457.4;
2001-03-31;55.7;451.5;
2001-06-30;59.8;420.3;
2001-09-30;62.9;440.5;
2001-12-31;52.1;461.9;
2002-03-31;49.2;471.7;
2002-06-30;49.1;454.3;
2002-09-30;48.3;492.9;
2002-12-31;40.7;514.4;
2003-03-31;41.3;528.2;
2003-06-30;43;501;
2003-09-30;45.2;529.4;
2003-12-31;40.2;542.4;
2004-03-31;42.4;559.8;
2004-06-30;45.4;517.5;
2004-09-30;47.1;530.2;
2004-12-31;51.2;541.7;
2005-03-31;53.7;540.5;
2005-06-30;57;489.7;
2005-09-30;55.8;503.4;
2005-12-31;52.2;510.4;
2006-03-31;70.5;514.8;
2006-06-30;85.9;451.1;
2006-09-30;97.5;454.2;
2006-12-31;93.4;448.5;
2007-03-31;107.7;430.5;
2007-06-30;123.3;370.8;
2007-09-30;137.4;365;
2007-12-31;141.1;354.9;
2008-03-31;151.3;336.3;
2008-06-30;151.9;297.9;
2008-09-30;139.6;314.6;
2008-12-31;91.2;352.3;
2009-03-31;55.4;448.9;
2009-06-30;43.4;463.6;
2009-09-30;38.8;500.8;
2009-12-31;30.9;539.1;
2010-03-31;33.1;572.8;
2010-06-30;32.9;500.5;
2010-09-30;35.1;500.5;
2010-12-31;30.8;561.6;
2011-03-31;33.9;547.8;
2011-06-30;38.4;478.8;
2011-09-30;39.8;475.1;
2011-12-31;35.8;508.5;
2012-03-31;39.9;525.2;
2012-06-30;42.8;474.6;
2012-09-30;40.8;493.2;
2012-12-31;34.9;545.3;
2013-03-31;38.9;587.8;
2013-06-30;44;540.5;
2013-09-30;41.4;557.1;
2013-12-31;35.2;596.8;
2014-03-31;40.8;608.3;
2014-06-30;49.5;537.2;
2014-09-30;56.6;529.1;
2014-12-31;58.7;541.9;
2015-03-31;76;525.3;
2015-06-30;97;451.4;
2015-09-30;108.6;441.9;
2015-12-31;102.5;453.1;
2016-03-31;117.3;443.1;
2016-06-30;133.9;384.3;
2016-09-30;141;378.3;
2016-12-31;132.5;381.4;
2017-03-31;150.9;356.1;
2017-06-30;183.5;297.4;
2017-09-30;206.1;284.9;
2017-12-31;216.6;280.6;
2018-03-31;253.5;263.6;
2018-06-30;301.5;223.8;
2018-09-30;316.1;224.3;
2018-12-31;324.4;231.5;
2019-03-31;339.3;227.1;
2019-06-30;342.5;195.7;
2019-09-30;345.4;201.9;
2019-12-31;341;215.5;
2020-03-31;342.3;225.7;
2020-06-30;334.9;269.6;
2020-09-30;316.7;277;
2020-12-31;318.6;292;
2021-03-31;338.9;306.6;
2021-06-30;355.6;273.3;
2021-09-30;357.9;262.1;
2021-12-31;343.1;258.2;
2022-03-31;360.2;252.9;
2022-06-30;319.4;231.3;
2022-09-30;306.1;256.4;
2022-12-31;288.6;271.8;
2023-03-31;284.5;273.5;
2023-06-30;286.7;249.8;
2023-09-30;282;263;
2023-12-31;271.8;279.2;
2024-03-31;268.7;288.6;
2024-06-30;263.6;272.7;
2024-09-30;264.7;290.9;
2024-12-31;246.6;306.5;
2025-03-31;91.8;322.1;
2025-06-30;98.7;315.5;
2025-09-30;95.8;337.9;
2025-12-31;87.4;354.3;
